Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1044       1875       0          1594       1.80
structure_refs      84         21         0          1          0.25
biomes              84         248        0          240        2.95
terrain             84         334        1          28         3.98
surface             84         117        0          17         1.39
air_carvers         84         604        2          63         7.19
fluid_carvers       84         4          0          0          0.05
decoration          35         773        6          78         22.09
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             39.69
