Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2290       2671       0          1433       1.17
structure_refs      754        95         0          2          0.13
biomes              754        119        0          72         0.16
terrain             754        1232       0          107        1.63
surface             754        442        0          7          0.59
air_carvers         754        3612       2          103        4.79
fluid_carvers       754        8          0          0          0.01
decoration          634        5004       1          78         7.89
mob_spawns          530        128        0          26         0.24
structure_searches  0          0          0          0          0.00
Sum                                                             16.61
