Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    4017       3206       0          1341       0.80
structure_refs      1905       282        0          19         0.15
biomes              1905       2872       0          194        1.51
terrain             1905       2882       0          30         1.51
surface             1905       1443       0          8          0.76
air_carvers         1905       9181       2          86         4.82
fluid_carvers       1905       18         0          0          0.01
decoration          1712       14657      1          108        8.56
mob_spawns          1536       197        0          42         0.13
structure_searches  0          0          0          0          0.00
Sum                                                             18.24
