Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    3622       4951       0          1793       1.37
structure_refs      1400       183        0          2          0.13
biomes              1399       2979       0          357        2.13
terrain             1399       2552       0          41         1.82
surface             1399       924        0          35         0.66
air_carvers         1399       7372       2          111        5.27
fluid_carvers       1399       16         0          0          0.01
decoration          1193       12462      2          129        10.45
mob_spawns          1003       27         0          3          0.03
structure_searches  0          0          0          0          0.00
Sum                                                             21.87
