Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2290       3404       0          1330       1.49
structure_refs      754        81         0          5          0.11
biomes              754        206        0          163        0.27
terrain             754        1367       1          22         1.81
surface             754        543        0          7          0.72
air_carvers         754        7522       3          98         9.98
fluid_carvers       754        9          0          0          0.01
decoration          634        6731       1          104        10.62
mob_spawns          530        57         0          27         0.11
structure_searches  0          0          0          0          0.00
Sum                                                             25.11
