Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2645       4629       0          1449       1.75
structure_refs      981        111        0          2          0.11
biomes              981        149        0          114        0.15
terrain             981        1820       1          31         1.86
surface             981        750        0          28         0.76
air_carvers         981        7236       1          2182       7.38
fluid_carvers       981        12         0          0          0.01
decoration          845        7704       1          133        9.12
mob_spawns          725        71         0          38         0.10
structure_searches  0          0          0          0          0.00
Sum                                                             21.24
