Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    18         1461       0          1460       81.17
structure_refs      24         9          0          1          0.38
biomes              24         151        0          84         6.29
terrain             24         67         1          11         2.79
surface             24         32         0          8          1.33
air_carvers         24         274        5          66         11.42
fluid_carvers       24         1          0          0          0.04
decoration          25         854        8          367        34.16
mob_spawns          18         0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             137.58
