Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    536        316        0          264        0.59
structure_refs      447        66         0          0          0.15
biomes              447        3368       0          1587       7.53
terrain             447        691        0          20         1.55
surface             447        253        0          9          0.57
air_carvers         447        2902       4          82         6.49
fluid_carvers       447        13         0          0          0.03
decoration          413        5342       3          109        12.93
mob_spawns          356        15         0          5          0.04
structure_searches  0          0          0          0          0.00
Sum                                                             29.88
