Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2511       1706       0          1098       0.68
structure_refs      895        90         0          2          0.10
biomes              895        685        0          125        0.77
terrain             895        1426       1          11         1.59
surface             895        452        0          1          0.51
air_carvers         895        4225       1          54         4.72
fluid_carvers       895        4          0          0          0.00
decoration          765        5356       1          67         7.00
mob_spawns          651        15         0          0          0.02
structure_searches  0          0          0          0          0.00
Sum                                                             15.39
