Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    8186       4649       0          1433       0.57
structure_refs      4794       590        0          2          0.12
biomes              4794       1978       0          242        0.41
terrain             4794       7219       0          44         1.51
surface             4794       2861       0          72         0.60
air_carvers         4794       26035      2          156        5.43
fluid_carvers       4794       39         0          1          0.01
decoration          4431       43528      1          742        9.82
mob_spawns          4082       266        0          39         0.07
structure_searches  0          0          0          0          0.00
Sum                                                             18.53
