Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1760       1873       0          1520       1.06
structure_refs      224        51         0          7          0.23
biomes              224        423        0          183        1.89
terrain             224        441        1          19         1.97
surface             224        180        0          12         0.80
air_carvers         224        1317       2          74         5.88
fluid_carvers       224        3          0          0          0.01
decoration          104        1279       2          79         12.30
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             24.14
