Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    624        52         0          10         0.08
structure_refs      492        68         0          2          0.14
biomes              492        4720       0          1821       9.59
terrain             492        844        0          16         1.72
surface             492        340        0          19         0.69
air_carvers         492        3507       3          132        7.13
fluid_carvers       492        11         0          0          0.02
decoration          448        5738       2          174        12.81
mob_spawns          392        16         0          1          0.04
structure_searches  0          0          0          0          0.00
Sum                                                             32.22
