Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    5626       5912       0          1545       1.05
structure_refs      3031       389        0          34         0.13
biomes              3031       2242       0          145        0.74
terrain             3031       4040       0          36         1.33
surface             3031       2108       0          33         0.70
air_carvers         3030       12554      1          154        4.14
fluid_carvers       3030       24         0          0          0.01
decoration          2778       22399      1          157        8.06
mob_spawns          2542       189        0          42         0.07
structure_searches  0          0          0          0          0.00
Sum                                                             16.24
