Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2290       3209       0          2673       1.40
structure_refs      754        117        0          13         0.16
biomes              754        384        0          166        0.51
terrain             754        1211       1          30         1.61
surface             754        445        0          9          0.59
air_carvers         754        3984       3          70         5.28
fluid_carvers       754        8          0          0          0.01
decoration          634        5420       1          108        8.55
mob_spawns          530        75         0          34         0.14
structure_searches  0          0          0          0          0.00
Sum                                                             18.25
