Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2067       2727       0          1486       1.32
structure_refs      387        70         0          9          0.18
biomes              387        277        0          253        0.72
terrain             387        1004       1          36         2.59
surface             387        425        0          65         1.10
air_carvers         387        2135       2          140        5.52
fluid_carvers       387        7          0          0          0.02
decoration          249        2843       2          128        11.42
mob_spawns          127        5          0          1          0.04
structure_searches  0          0          0          0          0.00
Sum                                                             22.90
