Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1849       2039       0          1325       1.10
structure_refs      729        112        0          4          0.15
biomes              729        256        0          220        0.35
terrain             729        1662       1          34         2.28
surface             729        573        0          15         0.79
air_carvers         729        3913       3          65         5.37
fluid_carvers       729        9          0          0          0.01
decoration          625        6050       2          124        9.68
mob_spawns          529        69         0          37         0.13
structure_searches  0          0          0          0          0.00
Sum                                                             19.86
