Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    9266       3371       0          1096       0.36
structure_refs      5420       564        0          0          0.10
biomes              5420       2259       0          225        0.42
terrain             5420       6819       0          43         1.26
surface             5420       2528       0          32         0.47
air_carvers         5419       20258      1          47         3.74
fluid_carvers       5419       30         0          0          0.01
decoration          4998       39389      1          917        7.88
mob_spawns          4594       291        0          9          0.06
structure_searches  0          0          0          0          0.00
Sum                                                             14.30
