Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    971        1678       0          1506       1.73
structure_refs      110        54         0          13         0.49
biomes              110        266        0          126        2.42
terrain             110        297        1          41         2.70
surface             110        107        0          9          0.97
air_carvers         110        767        2          63         6.97
fluid_carvers       110        8          0          0          0.07
decoration          53         726        3          59         13.70
mob_spawns          9          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             29.05
