Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1849       2231       0          1400       1.21
structure_refs      729        107        0          17         0.15
biomes              729        184        0          161        0.25
terrain             729        1824       1          67         2.50
surface             729        718        0          30         0.98
air_carvers         729        7833       7          104        10.74
fluid_carvers       729        8          0          0          0.01
decoration          625        4926       2          95         7.88
mob_spawns          529        59         0          28         0.11
structure_searches  0          0          0          0          0.00
Sum                                                             23.84
