Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1849       3258       0          1281       1.76
structure_refs      729        85         0          3          0.12
biomes              729        174        0          141        0.24
terrain             729        1367       1          100        1.88
surface             729        509        0          9          0.70
air_carvers         729        8613       9          74         11.81
fluid_carvers       729        9          0          0          0.01
decoration          625        6043       1          82         9.67
mob_spawns          529        107        0          34         0.20
structure_searches  0          0          0          0          0.00
Sum                                                             26.39
