Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    3057       3538       0          1310       1.16
structure_refs      1248       148        0          1          0.12
biomes              1248       1561       0          191        1.25
terrain             1248       1945       0          33         1.56
surface             1248       733        0          11         0.59
air_carvers         1248       7022       2          98         5.63
fluid_carvers       1248       14         0          0          0.01
decoration          1094       10856      1          160        9.92
mob_spawns          956        160        0          43         0.17
structure_searches  0          0          0          0          0.00
Sum                                                             20.40
