Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2466       3304       0          1385       1.34
structure_refs      866        97         0          1          0.11
biomes              866        210        0          160        0.24
terrain             866        1867       1          25         2.16
surface             866        774        0          20         0.89
air_carvers         866        5071       2          81         5.86
fluid_carvers       866        11         0          0          0.01
decoration          738        6820       2          84         9.24
mob_spawns          626        88         0          37         0.14
structure_searches  0          0          0          0          0.00
Sum                                                             19.99
